,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
171,Gravel Cycling,2021-04-25 14:13:00,Praha Cyklistika na nezpevněných cestách,34.48,622.0,0 days 01:50:27,105,153,1.3,18.7,37.0,217,210,0,0,0,0.0,0,0,0,0,8.0,0 days 01:50:02,0 days 02:18:40,196,326,Bergamont
172,Gravel Cycling,2021-04-23 15:02:00,Praha Cyklistika na nezpevněných cestách,77.01,1835.0,0 days 03:30:22,136,177,3.4,22.0,51.2,681,654,0,0,0,0.0,0,0,0,0,7.0,0 days 03:28:48,0 days 04:16:17,185,418,Bergamont
173,Cycling,2021-04-22 17:29:00,Cyklistika,2.0,93.0,0 days 00:15:31,108,124,0.0,7.7,0.0,0,0,0,0,0,0.0,0,0,0,0,0.0,0 days 00:00:00,0 days 00:15:31,0,0,unknown
174,Gravel Cycling,2021-04-20 16:12:00,Praha Cyklistika na nezpevněných cestách,50.62,1253.0,0 days 02:10:12,140,182,3.4,23.3,47.8,397,409,0,0,0,0.0,0,0,0,0,10.0,0 days 02:09:07,0 days 02:23:03,192,394,Bergamont
175,Gravel Cycling,2021-04-18 11:00:00,2.💯 5x VKP a pořádná testovačka,167.08,4142.0,0 days 07:20:39,147,187,5.0,22.8,54.0,1579,1587,0,0,0,0.0,0,0,0,0,5.0,0 days 07:19:14,0 days 08:44:55,179,540,Bergamont
176,Gravel Cycling,2021-04-16 15:26:00,First date with Bergamo,55.4,1517.0,0 days 02:27:34,149,177,4.2,22.5,46.5,597,585,0,0,0,0.0,0,0,0,0,0.0,0 days 02:26:48,0 days 02:46:10,191,400,Bergamont
177,Indoor Cycling,2021-04-14 17:21:00,Jízda na kole uvnitř,30.06,562.0,0 days 01:04:31,129,140,2.3,28.0,30.8,0,0,76,86,147,38.0,157,145,185,4912,20.0,0 days 01:04:29,0 days 01:04:31,0,0,Tacx
178,Indoor Cycling,2021-04-13 18:41:00,Jízda na kole uvnitř,30.02,521.0,0 days 01:15:01,118,127,2.2,24.0,27.3,0,0,66,75,118,28.3,122,116,148,4893,19.0,0 days 01:14:06,0 days 01:23:39,0,0,Tacx
179,Mountain Biking,2021-04-11 11:54:00,Chilská cyklojízda,68.73,1647.0,0 days 04:05:34,120,173,2.6,16.8,52.3,604,587,0,0,0,0.0,0,0,0,0,13.0,0 days 04:03:54,0 days 05:25:03,184,325,Rockhopper
180,Mountain Biking,2021-04-11 11:47:00,Praha Horská cyklistika,1.02,23.0,0 days 00:03:17,113,123,0.1,18.6,25.4,2,7,0,0,0,0.0,0,0,0,0,17.0,0 days 00:03:13,0 days 00:09:12,202,208,Rockhopper
181,Mountain Biking,2021-04-09 15:57:00,Praha Horská cyklistika,10.25,300.0,0 days 00:36:44,0,0,0.0,16.7,29.4,79,60,0,0,0,0.0,0,0,0,0,13.0,0 days 00:36:22,0 days 00:41:40,178,230,Rockhopper
182,Mountain Biking,2021-04-09 14:23:00,Praha Horská cyklistika,14.31,387.0,0 days 00:44:56,0,0,0.0,19.1,28.6,33,46,0,0,0,0.0,0,0,0,0,12.0,0 days 00:44:29,0 days 00:49:43,194,208,Rockhopper
183,Indoor Cycling,2021-04-08 15:31:00,Jízda na kole uvnitř,50.02,1003.0,0 days 01:45:45,131,184,3.3,28.4,38.2,0,0,77,107,178,90.7,203,159,339,8172,19.0,0 days 01:45:43,0 days 01:45:45,0,0,Tacx
184,Indoor Cycling,2021-04-06 15:54:00,Jízda na kole uvnitř,50.1,996.0,0 days 01:44:49,138,160,3.2,28.7,34.4,0,0,78,95,165,77.5,179,159,252,8184,20.0,0 days 01:44:49,0 days 01:44:49,0,0,Tacx
185,Mountain Biking,2021-04-05 10:47:00,první letošní VKP,36.81,1337.0,0 days 02:20:37,136,0,4.5,15.7,46.9,465,401,0,0,0,0.0,0,0,0,0,9.0,0 days 02:18:36,0 days 03:14:33,195,314,Rockhopper
186,Road Cycling,2021-04-01 15:18:00,Praha Silniční cyklistika,50.32,1248.0,0 days 02:00:58,141,175,3.6,25.0,60.6,531,534,75,105,0,0.0,0,0,0,7765,17.0,0 days 02:00:34,0 days 02:16:06,197,380,Roubaix
187,Road Cycling,2021-03-31 14:22:00,Praha Silniční cyklistika,42.67,890.0,0 days 01:42:42,136,172,3.2,24.9,46.4,181,192,74,101,0,0.0,0,0,0,6546,20.0,0 days 01:42:08,0 days 01:49:31,199,253,Roubaix
188,Road Cycling,2021-03-30 15:18:00,Praha Silniční cyklistika,44.4,1126.0,0 days 01:54:14,143,184,3.8,23.3,56.7,491,475,73,116,0,0.0,0,0,0,6623,18.0,0 days 01:53:43,0 days 02:08:02,197,358,Roubaix
189,Road Cycling,2021-03-28 14:07:00,Praha Silniční cyklistika,44.22,1144.0,0 days 01:41:41,148,181,3.9,26.1,50.7,404,406,79,111,0,0.0,0,0,0,6831,7.0,0 days 01:41:21,0 days 01:54:56,190,382,Roubaix
190,Mountain Biking,2021-03-26 15:52:00,Praha Horská cyklistika,34.96,687.0,0 days 01:53:06,112,150,2.0,18.5,33.7,90,85,0,0,0,0.0,0,0,0,0,12.0,0 days 01:51:09,0 days 01:58:19,193,212,Rockhopper
191,Indoor Cycling,2021-03-14 15:53:00,Jízda na kole uvnitř,4.67,82.0,0 days 00:10:01,133,145,1.0,28.0,31.3,0,0,75,85,138,4.9,0,138,155,756,20.0,0 days 00:10:01,0 days 00:10:01,0,0,Tacx
